Firm,Year,COVID,ROA,ROE,Growth,Revenue,Total Assets,PAT,ATR,Equity,Nợ phải trả,LEV,Employees,Multi,Firm Type,Spec
ITC,2022,0,0.0363,0.0682,0.1363,815913,4175177,151585,0.1954,2222318,1952859,0.879,78,0,0,1
ITC,2023,0,0.0188,0.0338,-0.3516,529016,4150184,78013,0.1275,2304974,1845210,0.801,72,0,0,1
ITC,2024,0,0.0083,0.0142,0.0827,572743,3988436,32916,0.1436,2322688,1665748,0.717,71,0,0,1
ITC,2025,0,0.0119,0.0182,0.2877,737510,4199184,49984,0.1756,2742307,1456878,0.531,72,0,0,1
NHA,2014,0,,,,57556,,,,,,,89,0,0,1
NHA,2015,0,0.0723,0.1070,1.5829,148660,183186,13253,0.8115,123836,59351,0.479,89,0,0,1
NHA,2016,0,0.1138,0.1228,0.0069,149687,143706,16349,1.0416,133161,10545,0.079,88,0,0,1
NHA,2017,0,0.1470,0.1540,-0.3828,92391,158222,23255,0.5839,151028,7194,0.048,76,0,0,1
NHA,2018,0,0.1459,0.1536,0.1330,104675,187642,27377,0.5578,178239,9403,0.053,76,0,0,1
NHA,2019,0,0.2538,0.2771,0.6242,170012,269121,68316,0.6317,246555,22566,0.092,79,0,0,1
NHA,2020,1,0.1134,0.1276,-0.0497,161567,317524,36021,0.5088,282239,35284,0.125,98,0,0,1
NHA,2021,1,0.0047,0.0084,-0.2419,122478,506186,2385,0.2420,284458,221728,0.779,102,0,0,1
NHA,2022,0,0.0027,0.0044,-0.1160,108276,697085,1872,0.1553,427116,269969,0.632,101,0,0,1
NHA,2023,0,0.0086,0.0136,-0.3246,73134,684684,5893,0.1068,433009,251675,0.581,98,0,0,1
NHA,2024,0,0.0787,0.1221,1.1926,160354,800671,63004,0.2003,516013,284658,0.552,36,0,0,1
NHA,2025,0,0.0767,0.1327,0.8384,294788,1029175,78940,0.2864,594953,434221,0.730,52,0,0,1
DTD,2014,0,,,,,,,,,,,,0,0,1
DTD,2015,0,,,,,268487,,,125590,142898,1.138,,0,0,1
DTD,2016,0,0.0277,0.0599,,279960,473033,13095,0.5918,218685,254348,1.163,,0,0,1
DTD,2017,0,0.0403,0.0854,0.3038,365019,492454,19847,0.7412,232532,259921,1.118,310,0,0,1
DTD,2018,0,0.0492,0.1092,0.2551,458138,579334,28510,0.7908,261042,318292,1.219,101,0,0,1
DTD,2019,0,0.0458,0.1734,-0.5592,201930,1699545,77820,0.1188,448675,1250870,2.788,101,0,0,1
DTD,2020,1,0.0539,0.1770,2.6876,744638,2148459,115714,0.3466,653892,1494567,2.286,308,0,0,1
DTD,2021,1,0.0613,0.1517,-0.0689,693305,1943872,119193,0.3567,785659,1158213,1.474,287,0,0,1
DTD,2022,0,0.0521,0.1112,-0.1606,581935,2035745,106076,0.2859,953714,1082031,1.135,150,0,0,1
DTD,2023,0,0.0994,0.1762,0.3490,785048,2185087,217189,0.3593,1232942,952144,0.772,150,0,0,1
DTD,2024,0,0.0544,0.0912,-0.3699,494683,2213793,120417,0.2235,1320795,892998,0.676,150,0,0,1
DTD,2025,0,0.0950,0.1524,0.6676,824945,2664550,253137,0.3096,1661061,1003489,0.604,120,0,0,1
